srcip,sport,dstip,dsport,proto,dur,sbytes,dbytes,Spkts,Dpkts,attack_cat,label
10.40.0.243,63351,149.171.126.8,80,tcp,0.3079,1309,2515,2,22,Normal,0
10.40.0.67,55489,149.171.126.5,443,tcp,0.1477,1187,6630,28,13,Normal,0
10.40.0.4,12015,149.171.126.4,25,tcp,0.1941,2530,1005,10,18,Normal,0
175.45.179.165,30867,149.171.126.4,443,udp,0.1675,1322,655,14,8,Fuzzers,1
10.40.0.223,42851,149.171.126.3,25,tcp,0.3586,495,4733,19,12,Normal,0
175.45.176.95,19091,149.171.126.1,80,tcp,0.1771,23714,172,174,1,DoS,1
175.45.176.74,38641,149.171.126.1,80,tcp,0.4538,17132,456,77,1,DoS,1
175.45.180.114,18807,149.171.126.5,135,tcp,3.5843,2467,902,26,12,Worms,1
175.45.179.20,65320,149.171.126.4,443,udp,1.8924,1936,159,13,7,Fuzzers,1
10.40.0.30,18412,149.171.126.5,21,udp,1.1979,771,7269,23,29,Normal,0
10.40.0.111,53878,149.171.126.3,53,tcp,0.546,3691,6565,18,15,Normal,0
175.45.179.172,30255,149.171.126.4,80,udp,0.6573,2500,274,14,8,Fuzzers,1
175.45.177.122,5989,149.171.126.2,55771,tcp,0.0291,64,0,1,0,Reconnaissance,1
175.45.176.111,25017,149.171.126.1,80,tcp,0.7587,11990,352,81,3,DoS,1
10.40.0.152,13867,149.171.126.1,53,tcp,0.7259,345,5911,16,2,Normal,0
175.45.177.239,11308,149.171.126.2,21007,tcp,0.0448,76,0,1,0,Reconnaissance,1
10.40.0.60,5941,149.171.126.8,25,tcp,0.5316,2799,3678,4,23,Normal,0
10.40.0.102,54953,149.171.126.8,53,tcp,1.9438,2583,7960,15,22,Normal,0
10.40.0.46,51158,149.171.126.2,25,udp,2.2465,792,3734,8,16,Normal,0
10.40.0.17,32901,149.171.126.9,21,tcp,1.4001,2317,646,8,6,Normal,0
175.45.178.45,40163,149.171.126.3,443,tcp,3.1155,6568,4537,38,17,Exploits,1
10.40.0.136,35094,149.171.126.3,80,udp,0.1087,2909,4392,28,9,Normal,0
175.45.178.209,63638,149.171.126.3,502,tcp,2.5205,6221,3151,48,32,Exploits,1
175.45.178.106,41126,149.171.126.3,8080,tcp,4.4077,4754,1136,42,46,Exploits,1
10.40.0.105,29560,149.171.126.6,80,tcp,0.3576,2878,6383,3,2,Normal,0
10.40.0.105,27201,149.171.126.2,80,udp,1.6469,342,5135,20,16,Normal,0
175.45.178.1,21042,149.171.126.3,443,tcp,4.9161,6899,4419,49,43,Exploits,1
175.45.179.248,3127,149.171.126.4,80,udp,0.9734,1708,134,7,9,Fuzzers,1
10.40.0.23,21391,149.171.126.9,53,udp,0.0234,2494,542,2,15,Normal,0
175.45.176.76,24932,149.171.126.1,80,tcp,0.6722,13546,418,67,3,DoS,1
10.40.0.93,24788,149.171.126.6,80,tcp,0.2236,3515,1683,19,9,Normal,0
10.40.0.58,57866,149.171.126.3,25,tcp,0.1454,566,6602,10,14,Normal,0
10.40.0.70,17070,149.171.126.1,21,tcp,0.6542,1698,2256,10,4,Normal,0
10.40.0.85,57594,149.171.126.4,21,tcp,0.9826,1481,6581,10,25,Normal,0
10.40.0.18,11041,149.171.126.8,53,tcp,0.0359,2541,2013,20,23,Normal,0
175.45.176.147,50885,149.171.126.1,80,tcp,1.0709,24444,193,188,4,DoS,1
10.40.0.198,40513,149.171.126.7,80,tcp,3.3092,3747,6707,28,14,Normal,0
10.40.0.72,46891,149.171.126.6,21,udp,0.5089,1389,2452,14,28,Normal,0
175.45.177.240,4289,149.171.126.2,55444,tcp,0.0026,57,0,1,0,Reconnaissance,1
175.45.179.59,13532,149.171.126.4,80,udp,1.6993,2533,911,17,3,Fuzzers,1
175.45.180.39,43611,149.171.126.5,1433,tcp,3.9441,5564,993,34,25,Worms,1
10.40.0.116,33584,149.171.126.5,80,udp,0.0094,304,1281,12,19,Normal,0
10.40.0.173,18077,149.171.126.7,80,udp,0.8155,1623,1611,28,13,Normal,0
10.40.0.51,20793,149.171.126.3,25,tcp,0.4988,2965,7623,14,15,Normal,0
10.40.0.204,2273,149.171.126.4,21,udp,0.3884,537,6024,27,14,Normal,0
10.40.0.127,26442,149.171.126.8,80,tcp,0.6207,633,994,11,6,Normal,0
175.45.177.224,63248,149.171.126.2,23407,tcp,0.0239,49,0,1,0,Reconnaissance,1
10.40.0.237,37621,149.171.126.5,443,tcp,0.0706,2700,1892,26,18,Normal,0
175.45.177.219,64362,149.171.126.2,48122,tcp,0.0143,48,0,1,0,Reconnaissance,1
175.45.179.152,50424,149.171.126.4,443,udp,1.7774,2798,128,23,5,Fuzzers,1
175.45.178.46,9898,149.171.126.3,502,tcp,2.2902,3591,4500,56,18,Exploits,1
10.40.0.151,27220,149.171.126.6,80,tcp,0.0311,1731,419,19,28,Normal,0
10.40.0.74,55241,149.171.126.4,443,tcp,1.4959,1173,2137,27,21,Normal,0
10.40.0.64,11736,149.171.126.9,443,tcp,0.6306,3133,5834,3,14,Normal,0
10.40.0.145,44297,149.171.126.7,25,tcp,0.1595,2987,794,25,10,Normal,0
10.40.0.92,41917,149.171.126.6,53,udp,0.5543,2123,5361,14,24,Normal,0
10.40.0.44,8687,149.171.126.2,80,tcp,0.0702,2720,581,23,21,Normal,0
175.45.177.249,4276,149.171.126.2,49617,tcp,0.0225,48,0,1,0,Reconnaissance,1
10.40.0.224,32368,149.171.126.8,443,udp,3.8223,2892,6527,22,15,Normal,0
10.40.0.231,45462,149.171.126.8,443,tcp,0.7926,1546,1693,8,22,Normal,0
10.40.0.41,35179,149.171.126.8,443,udp,0.1745,1646,7035,5,27,Normal,0
175.45.176.209,60530,149.171.126.1,80,tcp,0.411,23399,472,83,3,DoS,1
10.40.0.219,63913,149.171.126.6,21,tcp,0.4087,2127,2289,4,5,Normal,0
10.40.0.173,25126,149.171.126.3,21,udp,0.3842,1073,7596,15,9,Normal,0
10.40.0.229,16496,149.171.126.7,80,udp,0.3231,3231,5196,3,22,Normal,0
10.40.0.110,35607,149.171.126.4,443,tcp,1.1485,1397,3650,13,19,Normal,0
10.40.0.70,54971,149.171.126.3,53,udp,0.4784,3648,2276,16,3,Normal,0
175.45.177.223,50907,149.171.126.2,46485,tcp,0.0058,57,0,1,0,Reconnaissance,1
175.45.177.220,65234,149.171.126.2,18099,tcp,0.042,52,0,1,0,Reconnaissance,1
175.45.180.160,44203,149.171.126.5,135,tcp,0.8155,3920,1118,35,33,Worms,1
175.45.178.53,37091,149.171.126.3,443,tcp,1.9248,6207,2873,45,35,Exploits,1
175.45.180.132,65349,149.171.126.5,1433,tcp,1.9333,2645,2154,18,27,Worms,1
10.40.0.238,10317,149.171.126.8,21,tcp,0.3871,3468,5164,27,10,Normal,0
10.40.0.170,47928,149.171.126.6,21,tcp,1.0315,2286,7642,6,23,Normal,0
10.40.0.234,56400,149.171.126.1,443,udp,0.2356,292,5114,14,19,Normal,0
175.45.176.197,47792,149.171.126.1,80,tcp,0.8675,19178,148,102,0,DoS,1
175.45.177.8,10011,149.171.126.2,49743,tcp,0.0278,72,0,1,0,Reconnaissance,1
10.40.0.191,1916,149.171.126.3,53,tcp,2.0975,214,4493,5,7,Normal,0
10.40.0.240,9630,149.171.126.5,80,tcp,1.6278,2752,7557,23,20,Normal,0
10.40.0.79,49363,149.171.126.5,80,udp,1.2628,2214,2853,3,16,Normal,0
175.45.177.215,29683,149.171.126.2,16244,tcp,0.0362,60,0,1,0,Reconnaissance,1
10.40.0.64,5891,149.171.126.3,80,tcp,2.4222,3355,5040,11,28,Normal,0
10.40.0.159,35399,149.171.126.4,21,tcp,2.1687,2597,5904,28,3,Normal,0
175.45.178.246,64379,149.171.126.3,443,tcp,4.089,8324,1426,23,25,Exploits,1
10.40.0.151,53835,149.171.126.5,80,tcp,0.8653,1898,1546,20,22,Normal,0
10.40.0.142,30399,149.171.126.2,21,tcp,0.1177,3010,2903,28,18,Normal,0
10.40.0.36,35279,149.171.126.2,80,udp,0.3758,1893,1227,23,2,Normal,0
175.45.176.34,27566,149.171.126.1,80,tcp,0.6534,20899,87,196,2,DoS,1
175.45.177.16,25605,149.171.126.2,9743,tcp,0.0275,79,0,1,0,Reconnaissance,1
175.45.176.68,62306,149.171.126.1,80,tcp,0.8829,23238,101,181,2,DoS,1
10.40.0.38,47499,149.171.126.8,80,tcp,0.5582,2631,4838,5,16,Normal,0
10.40.0.21,25675,149.171.126.9,443,udp,0.2951,583,3205,10,17,Normal,0
10.40.0.221,17796,149.171.126.9,80,tcp,0.0912,3903,887,19,5,Normal,0
10.40.0.238,1651,149.171.126.6,53,tcp,0.4256,72,4907,10,27,Normal,0
10.40.0.73,8137,149.171.126.2,53,tcp,0.1993,2453,655,9,27,Normal,0
10.40.0.12,27721,149.171.126.6,80,udp,0.8209,1467,874,10,11,Normal,0
10.40.0.45,51438,149.171.126.2,80,udp,0.1119,2606,6091,10,17,Normal,0
175.45.176.160,14308,149.171.126.1,80,tcp,1.1631,16320,158,124,4,DoS,1
10.40.0.67,2990,149.171.126.5,443,udp,1.1467,2254,2294,8,4,Normal,0
175.45.179.14,38484,149.171.126.4,443,udp,0.3656,2515,360,20,2,Fuzzers,1
175.45.179.22,63501,149.171.126.4,80,udp,1.3467,2993,738,23,7,Fuzzers,1
10.40.0.223,49918,149.171.126.1,80,udp,0.3451,277,5012,29,8,Normal,0
10.40.0.103,12260,149.171.126.3,21,udp,0.2108,2356,4075,14,14,Normal,0
175.45.177.202,15656,149.171.126.2,34958,tcp,0.0004,51,0,1,0,Reconnaissance,1
10.40.0.99,12991,149.171.126.1,21,udp,0.5722,242,3799,18,4,Normal,0
10.40.0.21,18501,149.171.126.7,21,tcp,0.1172,1862,2668,22,17,Normal,0
10.40.0.4,15930,149.171.126.1,80,tcp,0.5612,247,5349,25,20,Normal,0
10.40.0.145,47531,149.171.126.8,80,udp,1.282,2890,1576,14,2,Normal,0
175.45.179.184,37853,149.171.126.4,443,udp,1.7517,1087,652,8,8,Fuzzers,1
175.45.177.168,54724,149.171.126.2,16778,tcp,0.0195,75,0,1,0,Reconnaissance,1
10.40.0.198,3220,149.171.126.3,25,tcp,3.8869,2090,4737,16,22,Normal,0
10.40.0.16,21946,149.171.126.1,80,tcp,0.9771,2712,84,28,4,Normal,0
175.45.176.141,3089,149.171.126.1,80,tcp,0.3071,6762,50,173,1,DoS,1
10.40.0.230,22344,149.171.126.6,25,tcp,0.9754,714,1157,6,15,Normal,0
10.40.0.24,3122,149.171.126.7,443,udp,1.8636,2213,2024,15,6,Normal,0
10.40.0.87,43490,149.171.126.4,80,udp,1.6558,1441,5361,5,22,Normal,0
10.40.0.35,26056,149.171.126.5,25,tcp,0.1923,1753,5852,19,18,Normal,0
175.45.178.146,28742,149.171.126.3,502,tcp,4.3102,3547,3349,58,31,Exploits,1
175.45.177.24,13615,149.171.126.2,38409,tcp,0.0003,56,0,1,0,Reconnaissance,1
10.40.0.185,62631,149.171.126.1,25,udp,1.3094,1818,2177,5,14,Normal,0
175.45.176.96,2406,149.171.126.1,80,tcp,0.7697,1425,332,103,2,DoS,1
175.45.178.116,43477,149.171.126.3,502,tcp,2.3614,8892,1332,27,46,Exploits,1
175.45.177.157,14816,149.171.126.2,12213,tcp,0.042,46,0,1,0,Reconnaissance,1
10.40.0.183,40412,149.171.126.6,21,udp,0.9485,875,969,6,27,Normal,0
175.45.176.238,59957,149.171.126.1,80,tcp,0.9444,2878,214,199,3,DoS,1
10.40.0.165,17603,149.171.126.8,53,udp,2.2164,1709,6378,3,11,Normal,0
175.45.177.150,50046,149.171.126.2,1678,tcp,0.0382,56,0,1,0,Reconnaissance,1
10.40.0.109,6516,149.171.126.5,53,tcp,2.1593,3406,2949,29,4,Normal,0
175.45.179.247,38548,149.171.126.4,80,udp,0.1406,768,963,22,3,Fuzzers,1
175.45.179.180,34745,149.171.126.4,443,udp,0.7858,1637,811,21,7,Fuzzers,1
175.45.176.205,6940,149.171.126.1,80,tcp,0.0346,6420,310,131,0,DoS,1
175.45.178.59,38409,149.171.126.3,502,tcp,3.2723,8795,1192,59,57,Exploits,1
10.40.0.176,61238,149.171.126.1,443,tcp,1.2572,2367,3526,16,17,Normal,0
10.40.0.110,32554,149.171.126.4,443,udp,0.436,1012,1564,26,27,Normal,0
10.40.0.95,43164,149.171.126.9,53,udp,0.8195,970,4560,24,26,Normal,0
10.40.0.201,54688,149.171.126.7,53,udp,1.216,2950,2243,12,26,Normal,0
10.40.0.148,31018,149.171.126.3,80,tcp,0.4635,1062,2489,21,12,Normal,0
10.40.0.116,50312,149.171.126.8,25,tcp,0.7707,300,7205,6,9,Normal,0
10.40.0.97,43992,149.171.126.4,443,udp,0.5597,3789,3900,21,15,Normal,0
175.45.177.33,52245,149.171.126.2,58010,tcp,0.0003,51,0,1,0,Reconnaissance,1
10.40.0.112,22784,149.171.126.6,443,udp,0.2455,1135,320,20,6,Normal,0
10.40.0.191,3081,149.171.126.2,53,udp,0.9822,3422,469,27,19,Normal,0
10.40.0.192,63818,149.171.126.3,25,udp,0.5938,624,7697,27,25,Normal,0
175.45.180.91,9851,149.171.126.5,1433,tcp,2.8133,3078,1275,25,38,Worms,1
10.40.0.172,48086,149.171.126.3,443,tcp,0.1884,3654,4782,5,2,Normal,0
10.40.0.220,39105,149.171.126.7,80,udp,0.2388,2360,3732,19,10,Normal,0
10.40.0.102,55812,149.171.126.4,443,tcp,0.8519,2344,6315,2,8,Normal,0
10.40.0.86,28874,149.171.126.9,80,tcp,0.0532,1499,2887,24,5,Normal,0
175.45.178.130,51919,149.171.126.3,443,tcp,3.286,3999,2829,49,20,Exploits,1
10.40.0.240,19244,149.171.126.1,25,tcp,0.9621,2264,3093,5,6,Normal,0
175.45.178.89,40074,149.171.126.3,443,tcp,2.7659,3795,3266,58,41,Exploits,1
175.45.179.158,48402,149.171.126.4,443,udp,1.3255,1173,534,7,2,Fuzzers,1
10.40.0.56,51165,149.171.126.6,21,udp,1.0891,1305,5779,26,11,Normal,0
175.45.176.56,20579,149.171.126.1,80,tcp,0.9663,22411,307,85,0,DoS,1
10.40.0.190,19444,149.171.126.6,53,tcp,0.1205,2201,1227,16,5,Normal,0
10.40.0.232,60890,149.171.126.5,21,udp,0.7719,3738,7405,14,23,Normal,0
175.45.177.201,58545,149.171.126.2,55056,tcp,0.0187,67,0,1,0,Reconnaissance,1
10.40.0.164,22790,149.171.126.5,53,udp,1.9266,343,6005,8,26,Normal,0
175.45.179.207,37382,149.171.126.4,443,udp,0.6516,2338,697,18,6,Fuzzers,1
10.40.0.244,41646,149.171.126.2,21,tcp,0.6003,214,5831,19,10,Normal,0
10.40.0.248,50762,149.171.126.1,21,tcp,0.1015,2468,7476,16,27,Normal,0
10.40.0.135,51181,149.171.126.1,53,tcp,0.1346,3547,2408,13,2,Normal,0
175.45.176.110,13966,149.171.126.1,80,tcp,0.7075,22460,211,197,0,DoS,1
10.40.0.104,17594,149.171.126.7,21,udp,1.6958,3226,92,2,13,Normal,0
175.45.176.56,41799,149.171.126.1,80,tcp,0.1718,7113,384,56,3,DoS,1
175.45.176.40,49970,149.171.126.1,80,tcp,0.4191,19367,431,180,1,DoS,1
10.40.0.233,16084,149.171.126.2,443,udp,0.3153,2918,204,14,4,Normal,0
175.45.178.202,53327,149.171.126.3,8080,tcp,2.2701,4935,1568,28,32,Exploits,1
175.45.177.91,19722,149.171.126.2,2729,tcp,0.0185,77,0,1,0,Reconnaissance,1
10.40.0.114,44644,149.171.126.8,21,udp,0.0278,2064,5609,29,10,Normal,0
175.45.178.158,49218,149.171.126.3,8080,tcp,2.2214,8539,1255,19,43,Exploits,1
10.40.0.120,62429,149.171.126.1,25,udp,0.5918,1099,4492,17,16,Normal,0
10.40.0.147,22568,149.171.126.3,80,udp,0.5495,3445,1163,23,21,Normal,0
10.40.0.59,35974,149.171.126.7,443,tcp,0.0981,2819,3806,6,9,Normal,0
10.40.0.38,9369,149.171.126.1,443,tcp,3.2641,2066,2536,22,11,Normal,0
10.40.0.246,11579,149.171.126.5,443,tcp,0.0266,1522,7473,25,26,Normal,0
10.40.0.217,36708,149.171.126.8,443,tcp,0.7166,3073,4960,19,15,Normal,0
10.40.0.113,61979,149.171.126.8,25,tcp,0.7911,2124,2908,3,22,Normal,0
10.40.0.200,56193,149.171.126.7,21,tcp,0.6644,3063,1713,22,19,Normal,0
175.45.176.99,61285,149.171.126.1,80,tcp,0.3539,7177,65,114,2,DoS,1
10.40.0.86,31114,149.171.126.2,80,tcp,0.4165,3101,170,14,23,Normal,0
10.40.0.143,34088,149.171.126.5,53,tcp,0.0099,2463,1726,4,14,Normal,0
175.45.178.42,45611,149.171.126.3,502,tcp,4.8627,5890,3591,52,38,Exploits,1
10.40.0.24,44747,149.171.126.3,21,udp,0.09,1939,121,28,19,Normal,0
10.40.0.36,26190,149.171.126.1,53,udp,2.6301,2407,1665,10,5,Normal,0
175.45.177.11,40693,149.171.126.2,42437,tcp,0.0407,63,0,1,0,Reconnaissance,1
10.40.0.181,31146,149.171.126.6,53,tcp,0.2932,2488,793,24,11,Normal,0
175.45.176.113,28991,149.171.126.1,80,tcp,0.6159,24290,153,78,1,DoS,1
10.40.0.87,26747,149.171.126.1,21,tcp,0.0692,2408,3538,15,2,Normal,0
175.45.178.196,19451,149.171.126.3,8080,tcp,1.9612,6280,1550,40,19,Exploits,1
10.40.0.148,12448,149.171.126.6,80,udp,1.8659,2652,1168,2,8,Normal,0
10.40.0.218,55972,149.171.126.6,80,udp,0.529,686,4658,14,24,Normal,0
175.45.178.49,19788,149.171.126.3,502,tcp,1.769,5770,3082,47,42,Exploits,1
10.40.0.15,19585,149.171.126.9,443,udp,0.7023,2925,7431,3,21,Normal,0
175.45.180.51,30355,149.171.126.5,1433,tcp,3.5616,2163,2625,12,34,Worms,1
175.45.177.66,35732,149.171.126.2,56178,tcp,0.012,51,0,1,0,Reconnaissance,1
10.40.0.234,3743,149.171.126.5,25,udp,0.035,1062,6029,29,8,Normal,0
175.45.179.227,16687,149.171.126.4,443,udp,0.9318,2964,372,21,5,Fuzzers,1
10.40.0.74,15486,149.171.126.1,21,udp,0.6543,1668,4409,8,15,Normal,0
175.45.177.84,53599,149.171.126.2,20753,tcp,0.025,57,0,1,0,Reconnaissance,1
10.40.0.207,29106,149.171.126.4,21,tcp,1.2135,2025,1489,10,5,Normal,0
10.40.0.239,52739,149.171.126.3,25,udp,2.6673,2680,3340,28,19,Normal,0
10.40.0.64,14320,149.171.126.6,53,tcp,0.0241,2578,6014,11,20,Normal,0
10.40.0.250,20835,149.171.126.7,21,tcp,1.0517,2421,6026,3,14,Normal,0
10.40.0.68,16836,149.171.126.9,53,udp,0.4133,3502,6654,26,22,Normal,0
10.40.0.83,52737,149.171.126.9,80,tcp,0.0312,1371,7809,15,7,Normal,0
175.45.178.77,40622,149.171.126.3,8080,tcp,2.5853,6042,4977,22,34,Exploits,1
10.40.0.23,55353,149.171.126.1,80,tcp,0.6803,304,5143,22,22,Normal,0
10.40.0.224,64875,149.171.126.7,25,udp,0.4474,3240,4058,5,6,Normal,0
10.40.0.85,26489,149.171.126.2,53,udp,1.2067,1860,4176,6,22,Normal,0
10.40.0.203,19593,149.171.126.1,443,udp,1.8989,105,5139,13,11,Normal,0
10.40.0.28,59304,149.171.126.2,25,udp,0.0456,961,4738,9,5,Normal,0
10.40.0.159,6385,149.171.126.3,25,udp,0.2055,1290,4782,5,5,Normal,0
10.40.0.183,48403,149.171.126.1,25,udp,0.7406,2913,727,6,27,Normal,0
10.40.0.5,36671,149.171.126.5,21,udp,0.1136,3202,125,10,15,Normal,0
175.45.179.8,39888,149.171.126.4,443,udp,1.7184,1377,264,8,8,Fuzzers,1
175.45.176.146,11551,149.171.126.1,80,tcp,1.0442,23490,459,163,2,DoS,1
10.40.0.72,37438,149.171.126.5,25,udp,0.6182,3978,4030,20,27,Normal,0
10.40.0.221,49699,149.171.126.6,80,udp,1.8018,3201,7993,20,28,Normal,0
10.40.0.51,31751,149.171.126.2,443,udp,0.4117,878,7041,19,14,Normal,0
175.45.176.57,48753,149.171.126.1,80,tcp,0.1665,12583,90,117,1,DoS,1
10.40.0.213,62048,149.171.126.9,53,tcp,0.3405,2034,361,10,12,Normal,0
10.40.0.194,56466,149.171.126.9,21,udp,0.3051,1657,7390,16,10,Normal,0
10.40.0.53,16437,149.171.126.1,53,tcp,0.5454,3376,2275,29,19,Normal,0
175.45.178.115,55319,149.171.126.3,443,tcp,3.6628,7744,2930,45,24,Exploits,1
10.40.0.124,10791,149.171.126.6,25,udp,0.4719,1619,926,17,19,Normal,0
10.40.0.119,32586,149.171.126.1,53,tcp,0.4955,2892,2927,14,16,Normal,0
175.45.179.79,34592,149.171.126.4,80,udp,0.2398,843,175,17,9,Fuzzers,1
175.45.176.195,49359,149.171.126.1,80,tcp,0.4684,3204,83,117,1,DoS,1
175.45.176.56,6759,149.171.126.1,80,tcp,0.3952,17343,251,159,2,DoS,1
10.40.0.41,14586,149.171.126.9,443,tcp,1.2465,1972,4311,29,22,Normal,0
10.40.0.231,43260,149.171.126.4,80,tcp,0.0774,1281,2656,2,20,Normal,0
175.45.179.51,26312,149.171.126.4,80,udp,1.8245,961,192,23,5,Fuzzers,1
175.45.180.137,11520,149.171.126.5,135,tcp,1.5674,3427,1661,18,24,Worms,1
175.45.177.134,47660,149.171.126.2,36693,tcp,0.0213,70,0,1,0,Reconnaissance,1
10.40.0.236,32056,149.171.126.3,21,udp,0.522,2117,2570,28,26,Normal,0
10.40.0.156,49432,149.171.126.7,25,tcp,2.3101,3786,2654,26,16,Normal,0
10.40.0.71,42881,149.171.126.3,25,udp,0.1124,805,7847,27,5,Normal,0
10.40.0.123,39161,149.171.126.8,80,udp,1.7045,2342,1484,25,13,Normal,0
10.40.0.1,60479,149.171.126.8,21,tcp,1.0309,2531,6628,14,27,Normal,0
10.40.0.209,2720,149.171.126.1,443,udp,0.4514,759,4692,12,26,Normal,0
10.40.0.190,8206,149.171.126.6,25,udp,1.6291,2981,843,2,16,Normal,0
10.40.0.44,62552,149.171.126.6,53,udp,0.0181,3189,521,28,26,Normal,0
175.45.176.58,2719,149.171.126.1,80,tcp,0.589,16692,28,83,1,DoS,1
10.40.0.50,8892,149.171.126.3,25,udp,0.1165,1101,5479,11,4,Normal,0
10.40.0.180,24220,149.171.126.8,53,tcp,1.4374,3224,7835,17,24,Normal,0
175.45.176.31,60157,149.171.126.1,80,tcp,0.0232,17940,26,58,0,DoS,1
10.40.0.122,40818,149.171.126.9,80,udp,1.7373,794,962,17,6,Normal,0
10.40.0.195,51888,149.171.126.2,25,udp,0.5203,1686,2321,27,24,Normal,0
10.40.0.33,25750,149.171.126.9,25,udp,1.1431,3464,1183,4,2,Normal,0
10.40.0.144,47830,149.171.126.6,80,tcp,0.2968,3252,7214,16,27,Normal,0
10.40.0.253,28593,149.171.126.3,25,tcp,0.2791,3950,7590,15,13,Normal,0
10.40.0.92,61339,149.171.126.5,53,tcp,0.555,2063,5354,19,7,Normal,0
175.45.179.56,7376,149.171.126.4,443,udp,1.3599,2292,120,13,8,Fuzzers,1
175.45.179.249,50736,149.171.126.4,80,udp,0.6547,1080,471,20,6,Fuzzers,1
175.45.179.149,2839,149.171.126.4,443,udp,0.4829,2617,890,20,3,Fuzzers,1
10.40.0.48,58141,149.171.126.8,443,tcp,0.419,2619,2810,17,5,Normal,0
10.40.0.86,18592,149.171.126.7,53,tcp,0.383,2021,1198,12,15,Normal,0
175.45.180.47,22425,149.171.126.5,445,tcp,0.7047,5141,1168,34,32,Worms,1
10.40.0.141,4076,149.171.126.5,443,tcp,3.38,3833,639,18,25,Normal,0
10.40.0.57,52780,149.171.126.6,25,udp,0.0002,3810,3515,13,21,Normal,0
10.40.0.119,44747,149.171.126.2,53,udp,0.0784,2148,2855,28,6,Normal,0
175.45.179.95,31766,149.171.126.4,443,udp,0.2714,582,874,16,2,Fuzzers,1
10.40.0.88,14187,149.171.126.6,21,tcp,0.7482,3595,7666,27,21,Normal,0
10.40.0.92,10535,149.171.126.9,21,tcp,1.0066,2440,4051,4,24,Normal,0
10.40.0.193,50292,149.171.126.2,53,udp,0.9732,2516,971,21,3,Normal,0
10.40.0.33,32298,149.171.126.4,21,udp,0.2797,463,1552,25,9,Normal,0
10.40.0.104,9487,149.171.126.6,80,tcp,0.105,382,3007,12,10,Normal,0
10.40.0.90,36309,149.171.126.8,53,udp,0.8772,1558,6792,4,4,Normal,0
10.40.0.47,56206,149.171.126.5,80,udp,0.184,3120,3175,20,8,Normal,0
175.45.180.23,35221,149.171.126.5,1433,tcp,3.0605,2069,2813,16,33,Worms,1
175.45.179.250,4557,149.171.126.4,80,udp,0.3277,1869,817,12,3,Fuzzers,1
10.40.0.207,44148,149.171.126.9,53,tcp,0.0781,450,4090,14,26,Normal,0
10.40.0.248,60136,149.171.126.8,53,tcp,0.458,3481,7537,16,17,Normal,0
175.45.176.172,27953,149.171.126.1,80,tcp,0.6793,9185,163,42,4,DoS,1
10.40.0.221,59178,149.171.126.8,53,udp,0.3145,1117,2032,22,9,Normal,0
10.40.0.192,3833,149.171.126.8,443,udp,0.0278,685,4651,16,7,Normal,0
10.40.0.169,34014,149.171.126.9,25,tcp,0.193,1705,553,16,6,Normal,0
10.40.0.195,53287,149.171.126.1,53,udp,1.207,1410,4258,12,3,Normal,0
10.40.0.162,37576,149.171.126.7,443,udp,0.4488,2274,2611,12,11,Normal,0
175.45.179.39,64127,149.171.126.4,80,udp,1.0736,2608,562,10,5,Fuzzers,1
10.40.0.43,5834,149.171.126.9,80,tcp,0.6773,1923,1402,17,10,Normal,0
10.40.0.235,60514,149.171.126.9,443,udp,1.0957,948,3109,17,4,Normal,0
10.40.0.169,35555,149.171.126.3,80,tcp,0.2264,796,7899,7,12,Normal,0
10.40.0.93,20782,149.171.126.9,80,udp,0.3708,959,2278,12,17,Normal,0
175.45.177.29,24661,149.171.126.2,2023,tcp,0.0296,63,0,1,0,Reconnaissance,1
10.40.0.11,3938,149.171.126.7,25,udp,1.082,3851,5637,26,6,Normal,0
175.45.178.178,63569,149.171.126.3,8080,tcp,2.0268,6493,1986,50,30,Exploits,1
10.40.0.184,5410,149.171.126.1,443,udp,0.4012,845,6629,23,23,Normal,0
175.45.176.52,20849,149.171.126.1,80,tcp,1.115,1558,401,54,2,DoS,1
10.40.0.150,40611,149.171.126.6,53,tcp,0.3708,79,5318,23,7,Normal,0
175.45.177.130,28990,149.171.126.2,14457,tcp,0.045,67,0,1,0,Reconnaissance,1
10.40.0.35,36067,149.171.126.2,53,udp,0.3897,3661,5370,11,20,Normal,0
10.40.0.169,15732,149.171.126.7,443,udp,0.4004,203,462,12,6,Normal,0
10.40.0.55,45585,149.171.126.4,21,udp,0.1433,1266,1258,10,27,Normal,0
175.45.177.27,20321,149.171.126.2,9569,tcp,0.0178,71,0,1,0,Reconnaissance,1
10.40.0.251,7192,149.171.126.5,80,udp,0.2598,1186,3090,16,16,Normal,0
10.40.0.136,45036,149.171.126.5,53,udp,0.0553,2048,3691,21,12,Normal,0
10.40.0.80,48944,149.171.126.9,21,udp,0.8509,1108,5412,23,2,Normal,0
10.40.0.51,8828,149.171.126.4,25,tcp,1.9212,3912,2259,16,6,Normal,0
10.40.0.37,7377,149.171.126.6,25,tcp,0.0007,3988,4506,29,29,Normal,0
10.40.0.40,20208,149.171.126.4,80,tcp,0.3981,3383,2463,9,10,Normal,0
10.40.0.133,39129,149.171.126.8,443,tcp,0.3763,1990,2166,22,23,Normal,0
175.45.176.174,31163,149.171.126.1,80,tcp,0.861,19116,474,61,0,DoS,1
175.45.179.219,61449,149.171.126.4,443,udp,1.3481,832,686,12,9,Fuzzers,1
