Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Packets/s,Source IP,Destination IP,Label
8080,484273,1047,0,75796,0,2161.56,185.220.202.61,10.0.0.1,DDoS
53,766020,29,22,11596,21744,66.49,192.168.1.80,10.0.0.7,BENIGN
443,911958,23,39,7779,14770,67.91,192.168.1.99,10.0.0.8,BENIGN
8080,1939380,31,37,13537,25856,35.04,192.168.1.29,10.0.0.3,BENIGN
80,10881396,52,1,4073,105,4.78,45.154.255.153,10.0.0.1,DoS Hulk
554,1167798,27,27,10023,27095,46.2,192.168.1.217,10.0.0.3,BENIGN
21,1586333,17,13,2055,2319,21.42,103.203.57.180,10.0.0.4,SSH-Patator
80,26895529,44,2,3912,45,1.64,45.154.255.186,10.0.0.1,DoS Hulk
443,151423,4,23,1660,15769,177.14,192.168.1.192,10.0.0.8,BENIGN
4870,4835,1,0,40,0,405.24,194.26.29.219,10.0.0.2,PortScan
443,2162081,4,3,913,2815,3.24,192.168.1.49,10.0.0.8,BENIGN
443,2277533,18,12,7448,10331,13.17,192.168.1.40,10.0.0.4,BENIGN
22,1619614,14,10,6491,8427,14.81,192.168.1.129,10.0.0.7,BENIGN
8080,49592,29,39,14353,10592,1344.07,192.168.1.163,10.0.0.7,BENIGN
8080,1250405,2,13,406,1725,11.99,192.168.1.139,10.0.0.5,BENIGN
64512,1064,1,0,52,0,1718.07,194.26.29.55,10.0.0.2,PortScan
8080,2085846,32,30,15808,35159,29.71,192.168.1.232,10.0.0.9,BENIGN
80,145816,1657,0,73804,0,11355.83,185.220.117.236,10.0.0.1,DDoS
22,2033919,36,34,6631,2762,35.38,103.203.57.140,10.0.0.4,SSH-Patator
80,327937,25,12,8510,4019,112.48,192.168.1.75,10.0.0.1,BENIGN
53,172647,19,34,3184,32253,305.22,192.168.1.156,10.0.0.4,BENIGN
53,2004017,11,11,4928,11090,10.97,192.168.1.57,10.0.0.2,BENIGN
22,1099127,14,11,1488,1962,25.45,103.203.57.15,10.0.0.4,SSH-Patator
80,5021448,3,26,1294,28070,5.77,192.168.1.95,10.0.0.3,BENIGN
443,1837670,4,9,1282,2105,7.07,192.168.1.17,10.0.0.9,BENIGN
53,1422831,33,7,12072,7771,28.09,192.168.1.179,10.0.0.4,BENIGN
80,544171,15,34,2796,7025,89.88,192.168.1.98,10.0.0.4,BENIGN
8080,411586,19,38,2319,34453,138.15,192.168.1.135,10.0.0.2,BENIGN
19915,4533,1,0,55,0,431.62,194.26.29.234,10.0.0.2,PortScan
554,2710909,12,10,1599,7565,8.11,192.168.1.125,10.0.0.7,BENIGN
554,1542270,22,4,6421,2876,16.85,192.168.1.212,10.0.0.6,BENIGN
22,365992,32,18,9905,19774,136.24,192.168.1.20,10.0.0.4,BENIGN
53,397842,18,17,5609,9215,87.75,192.168.1.214,10.0.0.4,BENIGN
22,278493,2,12,137,2510,50.09,192.168.1.145,10.0.0.6,BENIGN
8080,1371174,23,4,11261,2255,19.68,192.168.1.137,10.0.0.2,BENIGN
443,21269,2333,0,109153,0,109174.06,185.220.59.69,10.0.0.1,DDoS
8080,325655,958,0,64045,0,2940.86,185.220.18.163,10.0.0.1,DDoS
443,878587,31,19,11934,23568,56.84,192.168.1.64,10.0.0.7,BENIGN
22,4925750,25,8,12175,7582,6.7,192.168.1.46,10.0.0.3,BENIGN
80,5990041,14,2,3908,1212,2.67,192.168.1.190,10.0.0.5,BENIGN
80,17050640,26,3,2486,96,1.52,45.154.255.208,10.0.0.1,DoS Hulk
80,97887,10,5,3753,6829,151.69,192.168.1.135,10.0.0.5,BENIGN
53,3153286,30,15,10724,19730,14.27,192.168.1.230,10.0.0.4,BENIGN
554,1004841,9,5,1136,6038,13.92,192.168.1.219,10.0.0.4,BENIGN
443,849666,10,38,4830,7250,56.43,192.168.1.179,10.0.0.2,BENIGN
22,9119015,28,13,5157,8490,4.5,192.168.1.71,10.0.0.9,BENIGN
21,2284495,14,10,2045,1691,12.25,103.203.57.197,10.0.0.4,SSH-Patator
443,247839,5,18,653,22121,92.43,192.168.1.168,10.0.0.8,BENIGN
80,379726,1811,0,74705,0,4767.97,185.220.1.131,10.0.0.1,DDoS
443,470010,176,0,11684,0,374.38,185.220.68.152,10.0.0.1,DDoS
80,1190068,31,26,5745,26750,47.86,192.168.1.225,10.0.0.5,BENIGN
554,406330,31,4,13677,1156,85.93,192.168.1.126,10.0.0.2,BENIGN
554,4984597,2,38,855,13903,8.02,192.168.1.129,10.0.0.8,BENIGN
53,999241,15,33,6689,25468,47.99,192.168.1.84,10.0.0.5,BENIGN
22,1220669,4,4,762,3991,6.55,192.168.1.45,10.0.0.8,BENIGN
8080,408798,732,0,54699,0,1790.18,185.220.154.56,10.0.0.1,DDoS
47849,3916,2,0,53,0,497.93,194.26.29.216,10.0.0.2,PortScan
554,246796,12,32,1345,7308,177.57,192.168.1.190,10.0.0.3,BENIGN
443,289530,27,16,11524,21881,148.01,192.168.1.71,10.0.0.1,BENIGN
53,1191950,10,21,3645,10658,25.99,192.168.1.199,10.0.0.3,BENIGN
554,53737,22,5,6657,2481,493.26,192.168.1.59,10.0.0.3,BENIGN
53,547369,27,33,9540,42092,109.42,192.168.1.97,10.0.0.7,BENIGN
53,1220869,26,22,10560,24039,39.28,192.168.1.211,10.0.0.4,BENIGN
8443,8510568,65,32,55426,30268,15.27,198.51.100.140,10.0.0.3,Infiltration
53,1533022,30,24,4517,23928,35.2,192.168.1.42,10.0.0.8,BENIGN
554,958576,16,10,5747,1718,27.1,192.168.1.118,10.0.0.2,BENIGN
8080,2066895,7,15,3448,14174,10.64,192.168.1.211,10.0.0.7,BENIGN
554,45699,29,36,4139,12142,1391.87,192.168.1.170,10.0.0.9,BENIGN
8080,401069,496,0,33341,0,1236.39,185.220.177.98,10.0.0.1,DDoS
8080,818016,32,17,10927,7969,59.83,192.168.1.140,10.0.0.7,BENIGN
80,178641,32,14,3649,7106,256.07,192.168.1.72,10.0.0.2,BENIGN
53,114369,2,9,529,8293,95.35,192.168.1.105,10.0.0.8,BENIGN
80,27735052,48,4,3531,90,1.73,45.154.255.160,10.0.0.1,DoS Hulk
443,915658,12,16,4373,10263,30.55,192.168.1.171,10.0.0.5,BENIGN
8080,2691473,34,39,12272,43388,27.11,192.168.1.51,10.0.0.1,BENIGN
80,12705230,79,4,6009,50,6.22,45.154.255.130,10.0.0.1,DoS Hulk
443,37300,583,0,46369,0,15588.03,185.220.159.134,10.0.0.1,DDoS
22,978037,5,10,2189,10467,15.32,192.168.1.92,10.0.0.4,BENIGN
554,1393978,32,32,2624,4664,45.88,192.168.1.38,10.0.0.6,BENIGN
8080,5509029,29,20,12386,11082,8.89,192.168.1.118,10.0.0.2,BENIGN
21,2282427,23,21,4463,2339,20.15,103.203.57.129,10.0.0.4,SSH-Patator
8080,825269,3,17,1106,15649,24.21,192.168.1.64,10.0.0.2,BENIGN
8080,70438,2177,0,119720,0,30862.41,185.220.70.159,10.0.0.1,DDoS
80,2677238,27,16,10661,14929,16.06,192.168.1.137,10.0.0.6,BENIGN
80,22137674,59,4,3806,147,2.67,45.154.255.179,10.0.0.1,DoS Hulk
8080,462050,8,32,2280,17348,86.38,192.168.1.217,10.0.0.4,BENIGN
443,4862022,26,9,6502,3970,7.2,192.168.1.233,10.0.0.3,BENIGN
53,7704786,23,2,10606,761,3.24,192.168.1.238,10.0.0.3,BENIGN
443,3085782,3,31,305,31459,11.01,192.168.1.214,10.0.0.2,BENIGN
554,1499874,26,13,5910,14656,25.98,192.168.1.180,10.0.0.4,BENIGN
53,566980,26,2,9342,1744,49.3,192.168.1.172,10.0.0.6,BENIGN
443,1933028,16,9,4948,3909,12.93,192.168.1.92,10.0.0.6,BENIGN
554,1326629,16,11,3214,11117,20.34,192.168.1.119,10.0.0.9,BENIGN
8080,112190,9,23,2006,27284,282.71,192.168.1.164,10.0.0.2,BENIGN
8080,814110,20,14,5842,2574,41.71,192.168.1.176,10.0.0.1,BENIGN
22,844089,28,21,3275,7997,57.98,192.168.1.209,10.0.0.7,BENIGN
80,272017,23,2,4568,2063,91.57,192.168.1.186,10.0.0.2,BENIGN
443,9828067,16,34,3108,33270,5.09,192.168.1.45,10.0.0.9,BENIGN
21,2204531,36,32,4496,2952,32.65,103.203.57.1,10.0.0.4,SSH-Patator
443,441304,1855,0,137438,0,4202.5,185.220.45.130,10.0.0.1,DDoS
8080,81373,2273,0,103037,0,27898.74,185.220.135.19,10.0.0.1,DDoS
443,2121911,31,14,3893,18109,21.2,192.168.1.204,10.0.0.6,BENIGN
53,1058639,30,4,4762,3391,32.09,192.168.1.189,10.0.0.2,BENIGN
443,223010,13,2,2798,1053,66.96,192.168.1.64,10.0.0.6,BENIGN
8080,2777996,12,18,3473,5868,10.8,192.168.1.135,10.0.0.8,BENIGN
8080,426829,2118,0,155965,0,4961.0,185.220.180.128,10.0.0.1,DDoS
80,149540,33,10,7292,12422,285.64,192.168.1.179,10.0.0.1,BENIGN
554,2126054,21,34,4199,35479,25.86,192.168.1.39,10.0.0.5,BENIGN
80,1794570,19,28,3731,27354,26.18,192.168.1.171,10.0.0.7,BENIGN
80,733152,26,32,10973,28548,79.0,192.168.1.83,10.0.0.3,BENIGN
80,383628,1617,0,113099,0,4213.91,185.220.167.107,10.0.0.1,DDoS
53,1943851,7,23,1488,7581,15.43,192.168.1.182,10.0.0.7,BENIGN
21650,765,2,0,53,0,2309.78,194.26.29.42,10.0.0.2,PortScan
80,626577,29,37,8571,26216,105.17,192.168.1.88,10.0.0.3,BENIGN
53,378495,3,19,391,13548,57.97,192.168.1.231,10.0.0.9,BENIGN
8080,1460732,28,39,2757,34248,45.84,192.168.1.50,10.0.0.6,BENIGN
443,265317,32,24,3086,31915,210.28,192.168.1.126,10.0.0.5,BENIGN
53,425964,22,15,4277,10780,86.66,192.168.1.37,10.0.0.2,BENIGN
22,412290,34,17,16021,15012,123.4,192.168.1.190,10.0.0.1,BENIGN
53,3255494,3,22,1505,29073,7.68,192.168.1.208,10.0.0.6,BENIGN
554,1244222,26,4,5232,3041,24.09,192.168.1.107,10.0.0.2,BENIGN
22,815561,34,2,9056,2644,44.09,192.168.1.223,10.0.0.8,BENIGN
554,202095,30,13,4394,9854,211.72,192.168.1.193,10.0.0.2,BENIGN
8080,712248,4,32,1452,41559,50.47,192.168.1.182,10.0.0.1,BENIGN
22,1464318,13,10,1997,1427,17.74,103.203.57.245,10.0.0.4,SSH-Patator
8080,431465,1010,0,59727,0,2340.32,185.220.172.112,10.0.0.1,DDoS
80,20715455,58,4,3612,91,2.8,45.154.255.153,10.0.0.1,DoS Hulk
554,731218,3,14,568,6047,23.22,192.168.1.198,10.0.0.5,BENIGN
8080,3689274,11,16,3635,11665,7.32,192.168.1.151,10.0.0.5,BENIGN
80,14765482,52,2,5054,156,3.52,45.154.255.203,10.0.0.1,DoS Hulk
443,308235,1253,0,51595,0,4063.75,185.220.231.90,10.0.0.1,DDoS
8080,461209,28,10,13815,10311,82.21,192.168.1.16,10.0.0.1,BENIGN
8443,13668680,84,34,37049,53204,12.29,198.51.100.144,10.0.0.3,Infiltration
8443,12379388,60,51,52882,43091,9.69,198.51.100.205,10.0.0.3,Infiltration
443,431412,3,22,1492,16943,57.82,192.168.1.143,10.0.0.9,BENIGN
80,3511663,4,27,1009,36105,8.83,192.168.1.104,10.0.0.6,BENIGN
80,5216497,31,12,12267,7367,8.24,192.168.1.48,10.0.0.9,BENIGN
8080,2341902,11,15,1370,5768,11.1,192.168.1.211,10.0.0.3,BENIGN
80,831170,9,5,1690,4812,16.82,192.168.1.120,10.0.0.5,BENIGN
80,3005831,10,23,1898,9434,10.98,192.168.1.62,10.0.0.1,BENIGN
80,44423,1961,0,107050,0,44043.77,185.220.184.247,10.0.0.1,DDoS
80,938073,11,20,2290,3254,33.01,192.168.1.88,10.0.0.3,BENIGN
443,57635,1053,0,62306,0,18238.49,185.220.168.245,10.0.0.1,DDoS
53,2675509,13,26,6265,10070,14.57,192.168.1.207,10.0.0.4,BENIGN
443,71134,2345,0,122972,0,32919.34,185.220.8.111,10.0.0.1,DDoS
80,23799146,75,3,2464,50,3.15,45.154.255.139,10.0.0.1,DoS Hulk
22,394700,20,36,5400,48759,141.52,192.168.1.101,10.0.0.2,BENIGN
80,957363,31,15,15659,11453,48.0,192.168.1.205,10.0.0.4,BENIGN
554,1732769,9,34,3684,37743,24.8,192.168.1.17,10.0.0.4,BENIGN
53,5252794,6,2,524,2116,1.52,192.168.1.29,10.0.0.1,BENIGN
8080,2611951,19,39,7029,25766,22.2,192.168.1.40,10.0.0.8,BENIGN
8080,375820,18,16,5767,15465,90.23,192.168.1.64,10.0.0.4,BENIGN
28595,3784,1,0,58,0,514.83,194.26.29.68,10.0.0.2,PortScan
443,6933576,3,31,351,38144,4.9,192.168.1.166,10.0.0.2,BENIGN
554,2219669,34,15,9394,20744,22.07,192.168.1.61,10.0.0.1,BENIGN
443,12604707,59,69,32664,15448,9.36,198.51.100.181,10.0.0.3,Infiltration
443,236694,2117,0,157875,0,8940.23,185.220.236.179,10.0.0.1,DDoS
443,392156,19,26,7826,30133,114.46,192.168.1.150,10.0.0.2,BENIGN
554,853130,25,35,9444,20331,70.25,192.168.1.138,10.0.0.7,BENIGN
80,10315717,10,1,827,131,0.97,45.154.255.179,10.0.0.1,DoS Hulk
22,887423,28,28,3249,26295,63.03,192.168.1.106,10.0.0.5,BENIGN
21,2476918,15,14,1280,2150,12.11,103.203.57.2,10.0.0.4,SSH-Patator
22,13901,13,33,2269,24103,3086.96,192.168.1.139,10.0.0.7,BENIGN
8080,999255,8,21,2916,4567,28.99,192.168.1.215,10.0.0.6,BENIGN
80,588233,15,5,1948,5154,33.94,192.168.1.140,10.0.0.1,BENIGN
443,235836,2261,0,104110,0,9583.09,185.220.216.25,10.0.0.1,DDoS
22,8392,6,30,1487,11320,3832.7,192.168.1.192,10.0.0.2,BENIGN
80,22921992,38,1,2166,158,1.66,45.154.255.76,10.0.0.1,DoS Hulk
443,52960,722,0,50733,0,13607.2,185.220.206.11,10.0.0.1,DDoS
80,16444146,12,4,1096,133,0.73,45.154.255.245,10.0.0.1,DoS Hulk
80,401959,768,0,37164,0,1910.16,185.220.209.69,10.0.0.1,DDoS
443,1292375,13,15,5419,20256,21.65,192.168.1.167,10.0.0.1,BENIGN
443,646142,33,9,4201,9276,64.9,192.168.1.167,10.0.0.8,BENIGN
80,505398,16,29,4544,19469,88.86,192.168.1.18,10.0.0.1,BENIGN
22,62245,2,16,219,19010,284.6,192.168.1.130,10.0.0.1,BENIGN
554,144209,30,10,3317,13718,275.46,192.168.1.75,10.0.0.3,BENIGN
554,515589,4,28,1581,30512,61.94,192.168.1.150,10.0.0.8,BENIGN
53,1029076,2,21,764,11530,22.33,192.168.1.142,10.0.0.6,BENIGN
22,3070608,33,25,14768,32854,18.88,192.168.1.15,10.0.0.6,BENIGN
554,156676,22,27,5032,10943,310.76,192.168.1.208,10.0.0.8,BENIGN
22,2785632,24,35,9968,34217,21.17,192.168.1.53,10.0.0.6,BENIGN
22,364622,5,6,820,4820,30.09,192.168.1.93,10.0.0.6,BENIGN
80,145244,767,0,52190,0,5277.1,185.220.39.187,10.0.0.1,DDoS
53,1377519,27,27,7907,36369,39.17,192.168.1.140,10.0.0.3,BENIGN
443,406945,20,36,4509,6641,137.27,192.168.1.138,10.0.0.9,BENIGN
15872,678,2,0,53,0,2568.97,194.26.29.113,10.0.0.2,PortScan
80,1959011,22,19,9142,12724,20.92,192.168.1.219,10.0.0.6,BENIGN
53,67620,31,4,5419,3863,510.06,192.168.1.174,10.0.0.1,BENIGN
80,449467,9,6,3839,5756,33.3,192.168.1.209,10.0.0.9,BENIGN
20346,2234,2,0,52,0,856.81,194.26.29.215,10.0.0.2,PortScan
80,389095,821,0,64281,0,2109.48,185.220.132.128,10.0.0.1,DDoS
53,444237,11,25,4955,26338,80.86,192.168.1.90,10.0.0.6,BENIGN
80,176705,2054,0,128327,0,11617.32,185.220.217.47,10.0.0.1,DDoS
80,8218814,61,2,4070,67,7.42,45.154.255.24,10.0.0.1,DoS Hulk
8080,1079028,26,30,8208,31306,51.85,192.168.1.102,10.0.0.6,BENIGN
554,1274007,19,25,4710,25437,34.51,192.168.1.232,10.0.0.6,BENIGN
22,166774,17,26,4055,18773,256.3,192.168.1.145,10.0.0.9,BENIGN
62447,4750,2,0,52,0,412.3,194.26.29.41,10.0.0.2,PortScan
8080,200012,795,0,39759,0,3972.76,185.220.218.86,10.0.0.1,DDoS
22,86248,20,3,10078,1281,263.62,192.168.1.30,10.0.0.6,BENIGN
53,648020,10,24,1633,15818,52.39,192.168.1.28,10.0.0.6,BENIGN
443,116869,5,20,444,11867,212.1,192.168.1.39,10.0.0.7,BENIGN
443,760692,24,2,10270,2260,34.13,192.168.1.218,10.0.0.8,BENIGN
8080,167979,27,7,6244,9302,201.21,192.168.1.54,10.0.0.4,BENIGN
8080,19032,13,30,6638,17114,2146.48,192.168.1.179,10.0.0.1,BENIGN
554,1933535,7,28,1329,27798,18.09,192.168.1.164,10.0.0.7,BENIGN
21393,3888,2,0,53,0,501.38,194.26.29.226,10.0.0.2,PortScan
443,272482,2263,0,141284,0,8302.08,185.220.183.20,10.0.0.1,DDoS
53,1402914,16,16,6404,12432,22.79,192.168.1.94,10.0.0.6,BENIGN
22,484713,14,3,1329,2880,35.0,192.168.1.135,10.0.0.2,BENIGN
443,152411,2,12,909,7604,91.26,192.168.1.15,10.0.0.9,BENIGN
554,597330,19,33,3673,36695,86.91,192.168.1.132,10.0.0.8,BENIGN
554,1545884,33,21,15600,7583,34.91,192.168.1.46,10.0.0.2,BENIGN
8080,2151002,18,11,2191,12983,13.48,192.168.1.219,10.0.0.5,BENIGN
8080,2209710,27,5,10898,5918,14.47,192.168.1.125,10.0.0.1,BENIGN
53,1544876,13,19,5003,22572,20.7,192.168.1.103,10.0.0.8,BENIGN
80,7428476,5,12,2154,3429,2.29,192.168.1.220,10.0.0.4,BENIGN
80,16499355,33,2,2204,77,2.0,45.154.255.123,10.0.0.1,DoS Hulk
22,463965,23,21,11437,8280,94.63,192.168.1.215,10.0.0.6,BENIGN
80,12839694,69,1,2156,172,5.37,45.154.255.162,10.0.0.1,DoS Hulk
80,51463,2339,0,121385,0,45361.83,185.220.234.210,10.0.0.1,DDoS
80,14064912,36,2,1228,192,2.56,45.154.255.247,10.0.0.1,DoS Hulk
53,1002693,7,15,2415,11848,21.92,192.168.1.226,10.0.0.8,BENIGN
22,2485491,2,18,949,17796,8.04,192.168.1.142,10.0.0.1,BENIGN
7813,2677,2,0,41,0,719.94,194.26.29.179,10.0.0.2,PortScan
8080,278218,27,32,10874,40941,211.3,192.168.1.155,10.0.0.1,BENIGN
53,1691134,9,10,4306,2282,11.23,192.168.1.14,10.0.0.2,BENIGN
80,12935920,40,1,3315,182,3.09,45.154.255.178,10.0.0.1,DoS Hulk
443,2367905,16,35,4633,25460,21.53,192.168.1.208,10.0.0.9,BENIGN
22,923841,33,29,3408,3422,71.36,103.203.57.74,10.0.0.4,SSH-Patator
80,52658,2345,0,169172,0,44447.71,185.220.81.112,10.0.0.1,DDoS
443,2186501,30,37,3939,6947,30.63,192.168.1.194,10.0.0.2,BENIGN
80,29709652,40,3,1630,44,1.35,45.154.255.119,10.0.0.1,DoS Hulk
22,540258,17,32,4734,43587,90.53,192.168.1.116,10.0.0.8,BENIGN
22,3326457,33,3,4519,1081,10.82,192.168.1.112,10.0.0.5,BENIGN
80,6797086,26,2,2291,148,3.82,45.154.255.119,10.0.0.1,DoS Hulk
22,536380,25,8,6792,3725,61.41,192.168.1.31,10.0.0.7,BENIGN
443,167087,1339,0,71449,0,8008.98,185.220.132.30,10.0.0.1,DDoS
80,427878,17,16,7014,5359,76.94,192.168.1.89,10.0.0.9,BENIGN
8080,455372,1411,0,59500,0,3097.88,185.220.179.115,10.0.0.1,DDoS
554,3456564,27,13,8483,13813,11.57,192.168.1.16,10.0.0.9,BENIGN
22,1123307,14,11,2104,1924,24.9,103.203.57.232,10.0.0.4,SSH-Patator
22,1803406,12,10,1023,1234,13.3,103.203.57.190,10.0.0.4,SSH-Patator
80,24775358,63,2,5514,48,2.54,45.154.255.95,10.0.0.1,DoS Hulk
554,171255,14,19,5629,3771,191.58,192.168.1.101,10.0.0.6,BENIGN
22,627725,19,25,5229,5857,69.98,192.168.1.227,10.0.0.1,BENIGN
59972,910,1,0,51,0,1979.82,194.26.29.186,10.0.0.2,PortScan
443,26928,25,10,12284,9780,1253.22,192.168.1.121,10.0.0.3,BENIGN
80,1339892,32,12,9556,16086,32.81,192.168.1.95,10.0.0.1,BENIGN
554,2452938,28,38,7101,26957,26.9,192.168.1.33,10.0.0.3,BENIGN
8080,255998,7,5,2180,4347,46.69,192.168.1.96,10.0.0.4,BENIGN
8080,1122447,12,36,1131,12994,42.73,192.168.1.166,10.0.0.9,BENIGN
80,595457,26,16,10897,16030,70.42,192.168.1.193,10.0.0.3,BENIGN
22,904137,28,26,5052,3280,61.87,103.203.57.22,10.0.0.4,SSH-Patator
443,710002,30,37,12497,34999,94.23,192.168.1.60,10.0.0.6,BENIGN
80,3309934,9,31,1153,13687,12.08,192.168.1.150,10.0.0.2,BENIGN
53,1134182,31,21,2458,27290,45.81,192.168.1.156,10.0.0.4,BENIGN
443,9609027,11,5,5119,5667,1.66,192.168.1.218,10.0.0.9,BENIGN
8080,250064,2,20,201,9572,87.63,192.168.1.187,10.0.0.6,BENIGN
80,279901,3,9,389,8190,42.72,192.168.1.119,10.0.0.6,BENIGN
22,1004662,11,36,1702,29430,46.74,192.168.1.135,10.0.0.7,BENIGN
554,597369,26,16,4059,17449,70.19,192.168.1.43,10.0.0.6,BENIGN
8080,709186,29,24,5958,32450,74.63,192.168.1.143,10.0.0.8,BENIGN
22,1544586,14,10,4883,5021,15.53,192.168.1.199,10.0.0.6,BENIGN
80,823667,11,25,4817,12187,43.65,192.168.1.233,10.0.0.8,BENIGN
21,2540997,22,18,1832,3049,17.31,103.203.57.71,10.0.0.4,SSH-Patator
80,285962,29,29,14402,23719,202.12,192.168.1.228,10.0.0.7,BENIGN
53,396015,21,24,2473,4277,113.35,192.168.1.143,10.0.0.3,BENIGN
443,80213,1266,0,52297,0,15763.22,185.220.172.51,10.0.0.1,DDoS
6197,3980,2,0,43,0,490.1,194.26.29.250,10.0.0.2,PortScan
8080,287362,173,0,9996,0,601.82,185.220.92.88,10.0.0.1,DDoS
53,1924614,33,34,6991,45580,34.79,192.168.1.165,10.0.0.1,BENIGN
53,5191933,2,26,826,23904,5.39,192.168.1.60,10.0.0.9,BENIGN
80,18675410,39,2,3727,63,2.09,45.154.255.50,10.0.0.1,DoS Hulk
22,504047,10,3,1101,3926,25.74,192.168.1.10,10.0.0.5,BENIGN
53,961120,22,12,10173,12714,35.34,192.168.1.190,10.0.0.7,BENIGN
8080,3334403,21,7,1817,1010,8.39,192.168.1.221,10.0.0.1,BENIGN
8080,1857357,8,14,3262,18528,11.84,192.168.1.13,10.0.0.5,BENIGN
554,1944855,33,32,16168,25448,33.4,192.168.1.102,10.0.0.7,BENIGN
8080,527973,3,30,506,14765,62.38,192.168.1.78,10.0.0.7,BENIGN
53,4783849,15,25,1389,12686,8.36,192.168.1.37,10.0.0.1,BENIGN
80,2429343,28,32,11668,34872,24.69,192.168.1.98,10.0.0.6,BENIGN
22,369468,12,33,5988,35992,121.47,192.168.1.101,10.0.0.4,BENIGN
53,450676,26,6,10245,4490,70.85,192.168.1.230,10.0.0.9,BENIGN
53,1144443,34,29,6092,10617,55.0,192.168.1.151,10.0.0.5,BENIGN
62252,1633,2,0,41,0,1153.61,194.26.29.74,10.0.0.2,PortScan
22,2806715,11,34,3191,45461,16.03,192.168.1.236,10.0.0.5,BENIGN
8080,3635693,5,12,2322,11543,4.67,192.168.1.200,10.0.0.1,BENIGN
80,14546530,24,3,1023,68,1.65,45.154.255.217,10.0.0.1,DoS Hulk
554,310302,21,13,8907,15557,109.22,192.168.1.140,10.0.0.4,BENIGN
8080,75563,29,11,4359,3176,522.44,192.168.1.97,10.0.0.8,BENIGN
554,3035052,4,3,1637,799,2.31,192.168.1.100,10.0.0.2,BENIGN
80,15809164,61,2,5095,75,3.86,45.154.255.126,10.0.0.1,DoS Hulk
53,1417407,10,28,1187,36570,26.79,192.168.1.207,10.0.0.4,BENIGN
8080,2312024,20,35,3508,46828,23.78,192.168.1.77,10.0.0.6,BENIGN
53,765367,8,7,2337,7551,19.57,192.168.1.232,10.0.0.5,BENIGN
22,1066306,26,17,12931,9292,40.29,192.168.1.122,10.0.0.4,BENIGN
21,2783507,27,25,3950,2297,19.39,103.203.57.41,10.0.0.4,SSH-Patator
80,2282821,23,19,4389,25281,18.39,192.168.1.63,10.0.0.2,BENIGN
443,12336,16,26,6226,36344,3149.31,192.168.1.151,10.0.0.7,BENIGN
80,460281,2054,0,163246,0,4461.52,185.220.24.251,10.0.0.1,DDoS
80,18341072,43,3,2098,96,2.34,45.154.255.99,10.0.0.1,DoS Hulk
80,973801,15,30,4983,24010,46.16,192.168.1.217,10.0.0.1,BENIGN
25077,1645,2,0,51,0,1145.8,194.26.29.122,10.0.0.2,PortScan
53,68407,32,6,13579,2838,547.49,192.168.1.66,10.0.0.6,BENIGN
443,440959,13,30,5596,14053,97.29,192.168.1.35,10.0.0.7,BENIGN
443,326837,1983,0,118123,0,6065.37,185.220.143.134,10.0.0.1,DDoS
8080,2571682,5,24,576,28228,11.27,192.168.1.186,10.0.0.1,BENIGN
80,415062,2,22,671,8633,57.68,192.168.1.52,10.0.0.8,BENIGN
8080,1246621,25,21,2213,26743,36.87,192.168.1.194,10.0.0.6,BENIGN
554,2023096,32,15,9456,12499,23.22,192.168.1.212,10.0.0.7,BENIGN
22,2489121,34,32,4573,2623,27.31,103.203.57.102,10.0.0.4,SSH-Patator
80,508370,34,4,6470,2023,74.6,192.168.1.46,10.0.0.1,BENIGN
22,2846811,16,23,8174,25790,13.69,192.168.1.32,10.0.0.8,BENIGN
80,7077740,46,2,2144,49,6.5,45.154.255.25,10.0.0.1,DoS Hulk
22,569140,27,26,11918,28599,92.96,192.168.1.109,10.0.0.1,BENIGN
554,1319620,6,34,2791,27819,30.29,192.168.1.76,10.0.0.5,BENIGN
30811,4719,2,0,45,0,415.02,194.26.29.121,10.0.0.2,PortScan
443,187058,1063,0,71237,0,5679.67,185.220.154.194,10.0.0.1,DDoS
554,3026689,22,8,3127,10428,9.91,192.168.1.199,10.0.0.2,BENIGN
554,260921,10,23,4612,6305,125.99,192.168.1.163,10.0.0.2,BENIGN
22,4074573,6,3,1844,1054,2.21,192.168.1.176,10.0.0.1,BENIGN
29591,2345,2,0,51,0,817.92,194.26.29.125,10.0.0.2,PortScan
80,1248578,12,33,4346,35265,36.01,192.168.1.207,10.0.0.4,BENIGN
80,21199652,42,2,3202,136,1.98,45.154.255.161,10.0.0.1,DoS Hulk
80,2849206,7,25,2561,9159,11.23,192.168.1.48,10.0.0.8,BENIGN
22,1122360,25,37,4737,36109,55.19,192.168.1.62,10.0.0.4,BENIGN
443,1625146,12,28,2593,13281,24.6,192.168.1.198,10.0.0.3,BENIGN
443,375956,32,15,14934,4227,124.68,192.168.1.121,10.0.0.1,BENIGN
443,10631143,15,39,5993,36724,5.08,192.168.1.73,10.0.0.4,BENIGN
53,423031,31,15,11041,3885,108.48,192.168.1.157,10.0.0.1,BENIGN
53,668308,10,20,3595,17105,44.82,192.168.1.108,10.0.0.5,BENIGN
554,59933,18,34,5361,30577,853.39,192.168.1.106,10.0.0.2,BENIGN
8080,54302,1988,0,109882,0,36542.26,185.220.196.210,10.0.0.1,DDoS
